2009-02-22_總統主持二二八基金會及中正紀念堂相關事宜會議
, 二二八, 事件, 的, 0.005291005291005291
, 二二八, 事件處理, 及, 0.005291005291005291
, 二二八, 紀念, 基金會, 0.005291005291005291
, 參加, 二二八, 事件, 0.003968253968253968

2012-02-24_總統出席「公與義的堅持-二二八事件司法人員受難者紀念特展」開幕典禮 
, 二二八, 事件, , 0.0075046904315197
, 撫平, 傷痛, , 0.005628517823639775
, 教訓, 撫平, , 0.005628517823639775
, 記取, 教訓, , 0.005628517823639775
, 並, 避免, , 0.00375234521575985
, 教訓, 撫平, 傷痛, 0.005628517823639775
, 記取, 教訓, 撫平, 0.005628517823639775
, 傷痛, 並, 避免, 0.00375234521575985
, 史實, 記取, 教訓, 0.00375234521575985
, 撫平, 傷痛, 並, 0.00375234521575985

2012-02-28_總統出席「二二八事件65週年中樞紀念儀式」
, 二二八, 事件, , 0.01768172888015717
, 政治, 受難者, , 0.005893909626719057
, 65, 週年, , 0.003929273084479371
, 一代, 的, , 0.003929273084479371
, 事件, 65, , 0.003929273084479371
, 事件, 65, 週年, 0.003929273084479371
, 事件, 紀念, 基金會, 0.003929273084479371
, 二二八, 事件, 65, 0.003929273084479371
, 二二八, 事件, 的, 0.003929273084479371
, 二二八, 事件, 紀念, 0.003929273084479371

2013-02-28_總統出席「二二八事件66週年中樞紀念儀式」及「臺北市二二八事件66週年追悼會」
, 二二八, 事件, , 0.013582342954159592
, 受難者, 家屬, , 0.006791171477079796
, 66, 週年, , 0.0050933786078098476
, 事件, 66, , 0.0050933786078098476
, 事件, 之, , 0.003395585738539898
, 事件, 66, 週年, 0.0050933786078098476
, 二二八, 事件, 66, 0.0050933786078098476
, 事件, 紀念, 基金會, 0.003395585738539898
, 二二八, 事件, 紀念, 0.003395585738539898
, 二二八, 和平, 公園, 0.003395585738539898

2014-02-28_總統參加「二二八事件67週年追思典禮」暨福德宮參拜
, 二二八, 事件, , 0.019650655021834062
, 張七郎, 醫師, , 0.008733624454148471
, 受難者, 家屬, , 0.006550218340611353
, 黨史, 館, , 0.006550218340611353
, 67, 週年, , 0.004366812227074236
, 67, 週年, 追思, 0.004366812227074236
, 事件, 67, 週年, 0.004366812227074236
, 事件, 紀念, 基金會, 0.004366812227074236
, 二二八, 事件, 67, 0.004366812227074236
, 二二八, 事件, 紀念, 0.004366812227074236

2014-02-28_總統探視二二八事件受難者張七郎家屬及出席「二二八事件67週年中樞紀念儀式」。
, 二二八, 事件, , 0.020145044319097503
, 張七郎, 醫師, , 0.010475423045930701
, 事件, 之, , 0.0040290088638195
, 事件, 紀念, , 0.0040290088638195
, 紀念, 基金會, , 0.0040290088638195
, 事件, 紀念, 基金會, 0.0040290088638195
, 二二八, 事件, 紀念, 0.0040290088638195
, 二二八, 事件, 之, 0.0032232070910556
, 張七郎, 醫師, 及其, 0.0032232070910556
, 二二八, 事件, 受難者, 0.0024174053182917004

2015-02-28_總統出席「二二八事件68週年中樞紀念儀式」暨福德宮參拜
, 二二八, 事件, , 0.013801756587202008
, 二二八, 受難者, , 0.006273525721455458
, 二二八, 和平, , 0.005018820577164366
, 張七郎, 醫師, , 0.005018820577164366
, 事件, 的, , 0.0037641154328732747
, 事件, 紀念, 基金會, 0.0037641154328732747
, 二二八, 事件, 紀念, 0.0037641154328732747
, 表示, 二二八, 事件, 0.0037641154328732747
, 事件, 發生, 時, 0.002509410288582183
, 二二八, 事件, 發生, 0.002509410288582183

2016-02-28_總統出席「二二八事件69週年中樞紀念儀式」
, 二二八, 事件, , 0.014230271668822769
, 國家, 紀念館, , 0.009055627425614488
, 事件, 的, , 0.007761966364812419
, 二二八, 國家, , 0.00646830530401035
, 二二八, 基金會, , 0.00517464424320828
, 二二八, 國家, 紀念館, 0.00646830530401035
, 二二八, 事件, 的, 0.00517464424320828
, 二二八, 事件, 受難者, 0.00258732212160414
, 名譽, 證書, 予, 0.00258732212160414
, 向, 二二八, 事件, 0.00258732212160414

